検査日,2018/12/10
開始時刻,8:13:25,終了時刻,9:37:00
IDNo.,8
製品名,マツオ食品　新名水２００ｇ
コード,710545
検査レベル,普通
材質,表刷り
特徴,
印刷面,
周長,
基準方向,
タイミング,
自動印刷,
ロットNo.,__A
検査幅[mm],1076.0
検査開始位置[mm],139.7,検査終了位置[mm],1215.7
列数,4
周長[mm],450.0,2逓倍,0
検査距離[m],4872.8
照明設定,No.1,ON ,65,No.2,OFF,0,No.3,ON ,28
検査レベル,点比較,色差,15,サイズ[mmsq.],1.30
,面比較,色差,22,サイズ[mmsq.],1.30
,スジ検出,色差,40,サイズ[mmsq.],2.60
印刷面,表刷り
Ref画像更新モード,ﾌﾚｰﾑ毎更新
タイミング設定,見当誤差検出設定 変更
欠点検出数,394
No.,周期内欠点数,X[mm],Y[m],サイズ[mmsq.],ランク,判定,欠点種別,ラベル
243,1,476.9,2406.5, 0.7,軽欠点,-,,
244,1,391.6,2461.7, 0.7,軽欠点,-,,
245,1,359.6,2557.1, 0.7,軽欠点,-,,
246,1,540.9,2573.6, 4.4,スジ欠点,-,,
247,1,777.8,2589.2, 3.5,スジ欠点,-,,
248,1,1321.7,2603.7, 4.0,スジ欠点,-,,
249,1,476.9,2647.2, 1.1,軽欠点,-,,
250,1,444.9,2647.7, 0.7,軽欠点,-,,
251,2,348.9,2706.6, 1.1,軽欠点,-,,
252,1,338.3,2793.5, 0.7,軽欠点,-,,
253,1,370.2,2914.7, 0.7,軽欠点,-,,
254,1,359.6,2916.4, 0.9,軽欠点,-,,
255,1,572.9,2948.2, 0.7,軽欠点,-,,
256,1,540.9,2962.3, 3.5,スジ欠点,-,,
257,1,423.6,2987.2, 0.8,軽欠点,-,,
258,2,863.1,3026.0, 0.8,軽欠点,-,,
259,1,1044.4,3047.8, 0.8,軽欠点,-,,
260,1,210.3,3109.8, 0.9,軽欠点,-,,
261,1,703.2,3111.6, 3.5,スジ欠点,-,,
262,1,508.9,3116.9, 0.7,軽欠点,-,,
263,1,391.6,3137.9, 0.8,軽欠点,-,,
264,1,327.6,3157.8, 3.5,スジ欠点,-,,
265,1,927.1,3186.0, 0.7,軽欠点,-,,
266,1,348.9,3189.3, 0.7,軽欠点,-,,
267,1,295.6,3191.0, 3.5,スジ欠点,-,,
268,1,391.6,3368.4, 3.5,スジ欠点,-,,
269,1,540.9,3369.0, 3.5,スジ欠点,-,,
270,1,562.2,3385.0, 0.7,軽欠点,-,,
271,1,338.3,3386.1, 4.0,スジ欠点,-,,
272,1,423.6,3465.9, 0.8,軽欠点,-,,
273,1,242.3,3479.8, 0.7,軽欠点,-,,
274,1,221.0,3503.3, 3.5,スジ欠点,-,,
275,1,380.9,3504.0, 0.8,軽欠点,-,,
276,1,777.8,3521.4, 4.0,スジ欠点,-,,
277,1,487.6,3536.9, 0.7,軽欠点,-,,
278,1,583.5,3573.8, 0.7,軽欠点,-,,
279,5,338.3,3751.6,14.3,重欠点,-,,
280,1,455.6,3830.5, 0.7,軽欠点,-,,
281,1,1140.4,3884.8, 0.8,軽欠点,-,,
282,1,540.9,3999.2, 0.8,軽欠点,-,,
283,5,551.5,4003.4, 3.6,重欠点,-,,
284,5,852.5,4003.9, 0.7,軽欠点,-,,
285,5,820.5,4004.3, 2.4,重欠点,-,,
286,5,831.1,4004.8, 5.9,重欠点,-,,
287,5,841.8,4005.3, 7.0,重欠点,-,,
288,5,735.2,4005.7, 7.0,重欠点,-,,
289,5,703.2,4006.2, 5.6,重欠点,-,,
290,5,703.2,4006.7, 5.4,重欠点,-,,
291,3,398.2,4263.0, 1.5,軽欠点,-,,
292,4,387.6,4263.6, 1.2,軽欠点,-,,
293,2,419.6,4263.8, 1.2,軽欠点,-,,
294,3,291.6,4264.3, 0.9,軽欠点,-,,
295,2,366.2,4264.9, 0.8,軽欠点,-,,
296,1,376.9,4265.3, 0.7,軽欠点,-,,
297,1,387.6,4266.2, 0.9,軽欠点,-,,
298,3,376.9,4267.2, 1.0,軽欠点,-,,
299,5,1193.7,4267.9, 0.8,軽欠点,-,,
300,1,590.2,4268.5, 0.9,軽欠点,-,,
301,1,280.9,4268.9, 0.9,軽欠点,-,,
302,3,686.2,4269.4, 1.0,軽欠点,-,,
303,1,376.9,4269.8, 0.9,軽欠点,-,,
304,3,387.6,4270.2, 0.8,軽欠点,-,,
305,1,398.2,4270.9, 0.7,軽欠点,-,,
